Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NC,19.75,Low Fat,0.014301326,others,103.0332,26,Small,Tier 1,Supermarket Type1,1230.3984
FD,12.0,Low Fat,0.033974436,others,181.8976,26,Small,Tier 1,Supermarket Type1,4527.44
FD,12.15,Low Fat,0.015457803,Frozen Foods,209.9928,19,Small,Tier 2,Supermarket Type1,5259.82
DR,5.98,Low Fat,0.075711199,Drinks,55.6614,21,not_mentioned,Tier 2,Supermarket Type1,331.5684
FD,14.85,Regular,0.035456465,Fruits and Vegetables,162.2578,16,not_mentioned,Tier 2,Supermarket Type1,3690.5294
FD,10.3,Regular,0.0111263,snacks_breakfast_type,87.254,26,Small,Tier 1,Supermarket Type1,1211.756
FD,4.555,Regular,0.034410585,Frozen Foods,111.3544,24,Medium,Tier 1,Supermarket Type1,1342.2528
DR,15.35,Low Fat,0.073697713,Drinks,91.912,16,not_mentioned,Tier 2,Supermarket Type1,559.272
FD,19.2,Regular,0.022965292,Fruits and Vegetables,181.695,21,not_mentioned,Tier 2,Supermarket Type1,2563.33
FD,15.85,Regular,0.061190964,Meat,47.1744,24,Medium,Tier 1,Supermarket Type1,996.0368
NC,10.1,Low Fat,0.054620504,others,197.5084,19,Small,Tier 2,Supermarket Type1,2976.126
FD,19.2,Regular,0.142189843,others,153.8314,25,not_mentioned,Tier 3,Grocery Store,155.1314
FD,15.85,Regular,0.06121988,Meat,45.6744,21,not_mentioned,Tier 2,Supermarket Type1,633.8416
FD,10.8,Low Fat,0.083016832,Dairy,193.4504,16,not_mentioned,Tier 2,Supermarket Type1,2876.256
NC,7.935,Low Fat,0.031730739,others,261.091,19,Small,Tier 2,Supermarket Type1,2366.919
FD,12.15,Regular,0.13283066,Fruits and Vegetables,190.6872,16,not_mentioned,Tier 2,Supermarket Type1,2269.0464
NC,20.75,Low Fat,0.025272781,others,146.6734,16,not_mentioned,Tier 2,Supermarket Type1,445.4202
FD,19.35,Regular,0.021490911,Fruits and Vegetables,122.1098,24,Medium,Tier 1,Supermarket Type1,2892.2352
FD,16.85,Low Fat,0.244102315,snacks_breakfast_type,148.076,38,Small,Tier 1,Grocery Store,146.476
DR,17.6,Low Fat,0.041681059,Drinks,164.2526,24,Medium,Tier 1,Supermarket Type1,1315.6208
FD,5.785,Regular,0.038976089,Fruits and Vegetables,264.2252,16,not_mentioned,Tier 2,Supermarket Type1,3934.878
FD,16.1,Regular,0.0,Frozen Foods,35.1558,16,not_mentioned,Tier 2,Supermarket Type1,339.558
FD,6.445,Low Fat,0.029859711,Baking Goods,94.1436,16,not_mentioned,Tier 2,Supermarket Type1,1418.154
FD,7.55,Low Fat,0.0273235,others,151.934,16,not_mentioned,Tier 2,Supermarket Type1,1837.608
FD,19.7,Low Fat,0.077899109,Baking Goods,177.766,19,Small,Tier 2,Supermarket Type1,2696.49
FD,15.7,Regular,0.0,Fruits and Vegetables,112.4544,36,High,Tier 3,Supermarket Type1,1230.3984
FD,19.0,Regular,0.10985775,Fruits and Vegetables,188.8214,25,not_mentioned,Tier 3,Grocery Store,188.4214
FD,9.0,Regular,0.069088961,snacks_breakfast_type,56.3614,26,Small,Tier 1,Supermarket Type1,1547.3192
DR,11.65,Low Fat,0.03242518,Drinks,38.8164,25,not_mentioned,Tier 3,Grocery Store,77.2328
DR,15.7,Low Fat,0.030554947,Drinks,41.877,38,Medium,Tier 3,Supermarket Type3,1125.202
FD,19.35,Regular,0.076878416,snacks_breakfast_type,113.9518,24,Medium,Tier 1,Supermarket Type1,1138.518
NC,6.965,Low Fat,0.047784475,others,158.8604,25,not_mentioned,Tier 3,Grocery Store,316.9208
FD,17.35,Regular,0.146527359,others,147.905,24,Medium,Tier 1,Supermarket Type1,2247.075
FD,18.25,Low Fat,0.075620262,snacks_breakfast_type,123.8046,16,not_mentioned,Tier 2,Supermarket Type1,3486.1288
DR,10.195,Low Fat,0.112859454,Drinks,114.486,16,not_mentioned,Tier 2,Supermarket Type1,2490.092
NC,12.15,Low Fat,0.06464846,others,253.404,19,Small,Tier 2,Supermarket Type1,4807.076
FD,19.35,Regular,0.049594299,Fruits and Vegetables,77.0644,36,High,Tier 3,Supermarket Type1,2278.3676
FD,7.72,Regular,0.075035902,snacks_breakfast_type,78.7986,14,Medium,Tier 3,Supermarket Type2,856.8846
NC,7.285,Low Fat,0.031200065,others,174.7054,24,Medium,Tier 1,Supermarket Type1,6303.7944
FD,12.3,Regular,0.058234621,snacks_breakfast_type,58.7562,21,not_mentioned,Tier 2,Supermarket Type1,592.562
FD,6.78,Regular,0.085392428,Fruits and Vegetables,226.7694,38,Medium,Tier 3,Supermarket Type3,6165.9738
FD,19.2,Low Fat,0.100640587,Frozen Foods,112.6886,16,not_mentioned,Tier 2,Supermarket Type1,1779.0176
NC,18.6,Low Fat,0.080956792,others,95.2436,16,not_mentioned,Tier 2,Supermarket Type1,1796.3284
FD,7.02,Low Fat,0.081623275,Fruits and Vegetables,148.0734,16,not_mentioned,Tier 2,Supermarket Type1,1930.1542
