Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type
FD,20.75,Low Fat,0.007564836,snacks_breakfast_type,107.8622,24,Medium,Tier 1,Supermarket Type1
FD,8.3,Regular,0.038427677,Dairy,87.3198,16,,Tier 2,Supermarket Type1
NC,14.6,Low Fat,0.099574908,others,241.7538,25,,Tier 3,Grocery Store
FD,7.315,Low Fat,0.015388393,snacks_breakfast_type,155.034,16,,Tier 2,Supermarket Type1
FD,13.6,Regular,0.118599314,Dairy,234.23,38,Medium,Tier 3,Supermarket Type3
FD,9.8,Regular,0.063817206,Fruits and Vegetables,117.1492,26,Small,Tier 1,Supermarket Type1
FD,19.35,Regular,0.082601537,Baking Goods,50.1034,14,Medium,Tier 3,Supermarket Type2
FD,9.2,Low Fat,0.015782495,Baking Goods,81.0592,38,Medium,Tier 3,Supermarket Type3
FD,6.305,Regular,0.123365446,snacks_breakfast_type,95.7436,21,,Tier 2,Supermarket Type1
FD,5.985,Low Fat,0.005698435,Baking Goods,186.8924,16,,Tier 2,Supermarket Type1
FD,16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466,16,,Tier 2,Supermarket Type1
FD,6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908,21,,Tier 2,Supermarket Type1
NC,17.75,Low Fat,0.171079215,others,240.4196,38,Small,Tier 1,Grocery Store
FD,4.785,Low Fat,0.092737611,snacks_breakfast_type,122.3098,24,Medium,Tier 1,Supermarket Type1
DR,16.75,Low Fat,0.021206464,Drinks,52.0298,36,High,Tier 3,Supermarket Type1
FD,6.135,Regular,0.0794507,Baking Goods,151.6366,24,Medium,Tier 1,Supermarket Type1
FD,19.85,Low Fat,0.05413521,others,198.7768,21,,Tier 2,Supermarket Type1
DR,17.85,Low Fat,0.037980963,Drinks,192.2188,14,Medium,Tier 3,Supermarket Type2
NC,6.13,Low Fat,0.028184344,others,109.6912,38,Medium,Tier 3,Supermarket Type3
FD,13.6,Low Fat,0.196897637,snacks_breakfast_type,193.7136,25,,Tier 3,Grocery Store
FD,7.1,Low Fat,0.109920138,Fruits and Vegetables,175.008,36,High,Tier 3,Supermarket Type1
NC,19.2,Low Fat,0.182619235,others,239.9196,19,Small,Tier 2,Supermarket Type1
FD,13.65,Low Fat,0.065630844,Frozen Foods,47.7402,26,Small,Tier 1,Supermarket Type1
NC,15.35,Low Fat,0.027447057,others,142.347,38,Small,Tier 1,Grocery Store
FD,19.2,Low Fat,0.035178935,snacks_breakfast_type,180.7318,19,Small,Tier 2,Supermarket Type1
FD,6.785,Regular,0.038455125,snacks_breakfast_type,209.4928,25,,Tier 3,Grocery Store
NC,13.0,Low Fat,0.035102094,others,47.6034,19,Small,Tier 2,Supermarket Type1
NC,5.825,Low Fat,0.091485232,others,161.3894,26,Small,Tier 1,Supermarket Type1
DR,13.8,Low Fat,0.058102469,Dairy,244.6802,26,Small,Tier 1,Supermarket Type1
FD,12.8,Low Fat,0.022940349,Fruits and Vegetables,116.5492,19,Small,Tier 2,Supermarket Type1
NC,9.11,Low Fat,0.06737681,others,32.09,38,Small,Tier 1,Grocery Store
FD,9.5,Regular,0.022148582,Meat,194.9452,14,Medium,Tier 3,Supermarket Type2
