Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FD,9.3,Low Fat,0.016047301,Dairy,249.8092,24,Medium,Tier 1,Supermarket Type1,3735.138
DR,5.92,Regular,0.019278216,Drinks,48.2692,14,Medium,Tier 3,Supermarket Type2,443.4228
FD,17.5,Low Fat,0.016760075,Meat,141.618,24,Medium,Tier 1,Supermarket Type1,2097.27
FD,19.2,Regular,0.0,Fruits and Vegetables,182.095,25,not_mentioned,Tier 3,Grocery Store,732.38
NC,8.93,Low Fat,0.0,others,53.8614,36,High,Tier 3,Supermarket Type1,994.7052
FD,10.395,Regular,0.0,Baking Goods,51.4008,14,Medium,Tier 3,Supermarket Type2,556.6088
FD,13.65,Regular,0.012741089,snacks_breakfast_type,57.6588,36,High,Tier 3,Supermarket Type1,343.5528
FD,19.0,Low Fat,0.127469857,snacks_breakfast_type,107.7622,38,Medium,Tier 3,Supermarket Type3,4022.7636
FD,16.2,Regular,0.016687114,Frozen Foods,96.9726,21,not_mentioned,Tier 2,Supermarket Type1,1076.5986
FD,19.2,Regular,0.09444959,Frozen Foods,187.8214,16,not_mentioned,Tier 2,Supermarket Type1,4710.535
FD,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,24,Medium,Tier 1,Supermarket Type1,1516.0266
FD,18.5,Regular,0.045463773,Dairy,144.1102,26,Small,Tier 1,Supermarket Type1,2187.153
FD,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,24,Medium,Tier 1,Supermarket Type1,1589.2646
FD,17.6,Regular,0.047257328,snacks_breakfast_type,119.6782,26,Small,Tier 1,Supermarket Type1,2145.2076
FD,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,36,High,Tier 3,Supermarket Type1,1977.426
FD,9.0,Regular,0.069088961,snacks_breakfast_type,56.3614,26,Small,Tier 1,Supermarket Type1,1547.3192
NC,11.8,Low Fat,0.008596051,others,115.3492,14,Medium,Tier 3,Supermarket Type2,1621.8888
FD,9.0,Regular,0.069196376,snacks_breakfast_type,54.3614,24,Medium,Tier 1,Supermarket Type1,718.3982
DR,8.26,Low Fat,0.034237682,Drinks,113.2834,38,Medium,Tier 3,Supermarket Type3,2303.668
FD,13.35,Low Fat,0.10249212,Dairy,230.5352,19,Small,Tier 2,Supermarket Type1,2748.4224
FD,18.85,Regular,0.138190277,snacks_breakfast_type,250.8724,36,High,Tier 3,Supermarket Type1,3775.086
FD,8.31,Regular,0.035399923,Baking Goods,144.5444,38,Medium,Tier 3,Supermarket Type3,4064.0432
NC,14.6,Low Fat,0.025698134,others,196.5084,19,Small,Tier 2,Supermarket Type1,1587.2672
FD,15.5,Low Fat,0.057556998,Baking Goods,107.6938,38,Small,Tier 1,Grocery Store,214.3876
FD,13.85,Regular,0.025896485,Frozen Foods,165.021,26,Small,Tier 1,Supermarket Type1,4078.025
NC,13.0,Low Fat,0.099887103,others,45.906,16,not_mentioned,Tier 2,Supermarket Type1,838.908
FD,7.645,Regular,0.066693437,snacks_breakfast_type,42.3112,19,Small,Tier 2,Supermarket Type1,1065.28
DR,11.65,Low Fat,0.019356132,Drinks,39.1164,36,High,Tier 3,Supermarket Type1,308.9312
FD,5.925,Regular,0.161466534,Dairy,45.5086,25,not_mentioned,Tier 3,Grocery Store,178.4344
FD,14.5,Regular,0.072221801,others,43.6454,38,Small,Tier 1,Grocery Store,125.8362
FD,19.25,Low Fat,0.170348551,Dairy,55.7956,25,not_mentioned,Tier 3,Grocery Store,163.7868
NC,18.6,Low Fat,0.080829372,others,96.4436,14,Medium,Tier 3,Supermarket Type2,2741.7644
FD,18.7,Low Fat,0.0,snacks_breakfast_type,256.6672,14,Medium,Tier 3,Supermarket Type2,3068.0064
FD,17.85,Low Fat,0.0,snacks_breakfast_type,93.1436,21,not_mentioned,Tier 2,Supermarket Type1,2174.5028
DR,17.5,Low Fat,0.097904029,Drinks,174.8738,26,Small,Tier 1,Supermarket Type1,2085.2856
NC,10.0,Low Fat,0.089291137,others,146.7102,24,Medium,Tier 1,Supermarket Type1,3791.0652
FD,20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,38,Medium,Tier 3,Supermarket Type3,2797.6916
DR,8.85,Regular,0.113123893,Drinks,122.5388,14,Medium,Tier 3,Supermarket Type2,1609.9044
FD,6.39,Regular,0.123111453,snacks_breakfast_type,36.9874,38,Medium,Tier 3,Supermarket Type3,388.1614
FD,15.25,Low Fat,0.026480954,snacks_breakfast_type,87.6198,38,Medium,Tier 3,Supermarket Type3,2180.495
FD,13.35,Low Fat,0.102511504,Dairy,230.6352,26,Small,Tier 1,Supermarket Type1,3435.528
FD,9.8,Low Fat,0.02681843,Meat,126.002,36,High,Tier 3,Supermarket Type1,2150.534
FD,13.6,Low Fat,0.117818348,snacks_breakfast_type,192.9136,24,Medium,Tier 1,Supermarket Type1,2527.3768
FD,21.35,Low Fat,0.069102831,others,259.9278,14,Medium,Tier 3,Supermarket Type2,6768.5228
FD,12.15,Regular,0.042277867,others,126.5046,36,High,Tier 3,Supermarket Type1,373.5138
